| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.10    0.67   21.89 ^ place572/X (sky130_fd_sc_hd__buf_4)
| INFO     | job0 | place.detailed       | 0 |                                          net572 (net)
| INFO     | job0 | place.detailed       | 0 |                   0.10    0.00   21.89 ^ _5941_/A3 (sky130_fd_sc_hd__o31ai_1)
| INFO     | job0 | place.detailed       | 0 |      1    0.00    0.11    0.15   22.03 v _5941_/Y (sky130_fd_sc_hd__o31ai_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1796_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.11    0.00   22.03 v place568/A (sky130_fd_sc_hd__buf_4)
| INFO     | job0 | place.detailed       | 0 |      3    0.01    0.08    0.51   22.55 v place568/X (sky130_fd_sc_hd__buf_4)
| INFO     | job0 | place.detailed       | 0 |                                          net568 (net)
| INFO     | job0 | place.detailed       | 0 |                   0.08    0.00   22.55 v _5942_/C (sky130_fd_sc_hd__maj3_1)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.24    1.72   24.27 v _5942_/X (sky130_fd_sc_hd__maj3_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1797_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.24    0.00   24.27 v _5943_/C (sky130_fd_sc_hd__maj3_1)
| INFO     | job0 | place.detailed       | 0 |      1    0.00    0.23    1.77   26.04 v _5943_/X (sky130_fd_sc_hd__maj3_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1798_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.23    0.00   26.04 v _5945_/A (sky130_fd_sc_hd__xnor2_1)
| INFO     | job0 | place.detailed       | 0 |      1    0.00    0.40    0.62   26.66 ^ _5945_/Y (sky130_fd_sc_hd__xnor2_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1800_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.40    0.00   26.66 ^ _6039_/A2 (sky130_fd_sc_hd__o21ai_0)
| INFO     | job0 | place.detailed       | 0 |      1    0.00    0.17    0.31   26.97 v _6039_/Y (sky130_fd_sc_hd__o21ai_0)
| INFO     | job0 | place.detailed       | 0 |                                          _4389_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.17    0.00   26.97 v pcpi_rs1[31]$_DFFE_PP_/D (sky130_fd_sc_hd__edfxtp_1)
| INFO     | job0 | place.detailed       | 0 |                                  26.97   data arrival time
| INFO     | job0 | place.detailed       | 0 | 
| INFO     | job0 | place.detailed       | 0 |                   0.00   25.00   25.00   clock clk (rise edge)
